Date,Asian,Black,Hispanic,Other,White,Unknown
January 2023,2789,8973,19480,3729,23683,16064
February 2023,1421,5151,11017,2301,13964,8775
March 2023,870,3089,6778,1469,8965,5266
April 2023,375,1030,2689,424,2900,1689
