Date,Asian,Black,Hispanic,Other,White,Unknown
03/2020,164,539,724,11,1056,497
04/2020,895,3664,6511,90,5653,3085
05/2020,1194,4072,9218,125,8053,6651
06/2020,1564,8138,29712,380,19253,50619
07/2020,2632,16734,68105,523,40045,115883
08/2020,2071,11598,55616,386,31723,126784
09/2020,1423,6904,30769,278,18835,61802
10/2020,2050,8209,37911,437,26349,57775
11/2020,4651,15423,68380,847,55635,108830
12/2020,8877,27129,113686,1235,94896,186617
