Date,Asian,Black,Hispanic,Other,White,Unknown
Jan 2021,237,923,3777,48,4963,2
Feb 2021,150,569,2380,32,2111,2
Mar 2021,60,264,1059,13,941,1
Apr 2021,43,167,579,8,451,0
May 2021,20,143,457,7,385,0
Jun 2021,7,73,280,7,252,0
Jul 2021,14,131,431,7,596,0
Aug 2021,70,817,2551,44,3413,10
Sep 2021,98,1013,2993,60,4159,8
Oct 2021,60,486,1547,31,1984,6
Nov 2021,23,149,682,14,818,1
Dec 2021,32,181,756,22,991,1
