Date,Asian,Black,Hispanic,Other,White,Unknown
Jan 2021,120,646,1839,48,3001,3
Feb 2021,74,359,1332,26,2269,4
Mar 2021,25,99,292,7,530,1
Apr 2021,5,22,82,0,150,0
May 2021,3,21,36,0,120,0
Jun 2021,10,39,99,3,201,0
Jul 2021,27,87,205,6,474,2
Aug 2021,21,68,222,5,492,0
Sep 2021,19,40,125,5,308,0
Oct 2021,12,25,65,5,182,0
Nov 2021,6,19,65,2,161,0
Dec 2021,20,50,143,3,387,1
