Month Year,Male,Female,Unknown,Total
January2022,559271,703165,18247,1280683
February2022,108404,128469,6421,243294
March2022,33067,38591,1696,73354
April2022,18059,21211,764,40034
May2022,39288,49295,1481,90064
June2022,82053,105185,2304,189542
July2022,116882,148300,2426,267608
August2022,87906,112651,2933,203490
September2022,41260,53040,548,94848
October2022,14983,19439,409,34831
November2022,19447,25402,400,45249
December2022,36823,49866,469,87158
Unknown Date 2022,2994,3484,1308,7786
Total 2022,1160437,1458098,39406,2657941
