Month Year,Male,Female,Unknown,Total
January2023,31646,42643,429,74718
February2023,18284,24074,271,42629
March2023,11069,15098,270,26437
April2023,3798,5234,75,9107
Unknown Date 2023,192,238,3,433
Total 2023,64989,87287,1048,153324
