Month Year,<1,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total
March 2020,0,0,0,2,1,10,9,22,25,32,101
April 2020,1,0,2,6,21,41,88,182,203,350,894
May 2020,0,0,1,3,10,39,115,212,228,316,924
June 2020,0,1,0,15,40,108,174,288,319,408,1353
July 2020,2,4,8,56,140,364,813,1394,1748,2146,6675
August 2020,1,1,4,16,60,282,626,1059,1201,1586,4836
September 2020,0,0,2,12,42,116,276,445,562,678,2133
October 2020,0,1,4,10,43,120,258,547,674,907,2564
November 2020,0,1,0,20,64,202,463,986,1307,1756,4799
December 2020,0,0,4,23,91,293,694,1431,1899,2601,7036
Total 2020,4,8,25,163,512,1575,3516,6566,8166,10780,31315
