Month Year,<1,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total
January 2021,2,2,3,38,139,377,951,2054,2806,3578,9950
February 2021,0,1,3,25,97,242,631,1241,1489,1515,5244
March 2021,0,0,2,9,55,169,313,613,603,574,2338
April 2021,1,1,0,14,40,110,229,328,268,257,1248
May 2021,0,2,1,14,47,104,171,237,252,184,1012
June 2021,0,0,0,11,21,73,119,163,123,109,619
July 2021,1,0,2,23,60,141,187,275,257,233,1179
August 2021,4,2,16,130,409,850,1302,1494,1422,1276,6905
September 2021,4,3,18,153,508,1044,1542,2015,1669,1375,8331
October 2021,1,3,10,82,235,436,756,1097,854,640,4114
November 2021,0,0,3,27,75,170,317,412,359,324,1687
December 2021,1,3,5,33,73,187,306,451,453,471,1983
Total 2021,14,17,63,559,1759,3903,6824,10380,10555,10536,44610
