Month Year,<1,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total
January 2023,0,1,2,3,4,12,52,106,210,405,795
February 2023,1,0,0,1,2,11,15,68,118,215,431
March 2023,2,0,0,2,3,6,12,46,76,140,287
Total 2023,3,1,2,6,9,29,79,220,404,760,1513
