COVID-19 Cumulative Cases and Fatalities by County 03/06/2020 to 12/31/2020,,
County,Confirmed Cases,Fatalities
Anderson,4130,73
Andrews,853,33
Angelina,3968,167
Aransas,575,25
Archer,536,6
Armstrong,130,6
Atascosa,2380,88
Austin,1022,15
Bailey,585,17
Bandera,508,15
Bastrop,3638,51
Baylor,107,7
Bee,3109,50
Bell,15578,202
Bexar,104159,1980
Blanco,301,9
Borden,28,0
Bosque,917,20
Bowie,4002,135
Brazoria,20610,258
Brazos,13836,145
Brewster,666,11
Briscoe,78,3
Brooks,559,29
Brown,1806,75
Burleson,1181,20
Burnet,2337,30
Caldwell,2712,52
Calhoun,1095,12
Callahan,447,23
Cameron,32231,1102
Camp,639,28
Carson,401,11
Cass,1056,56
Castro,733,24
Chambers,1422,14
Cherokee,1785,92
Childress,1295,12
Clay,703,11
Cochran,246,11
Coke,167,10
Coleman,376,17
Collin,38455,440
Collingsworth,191,8
Colorado,953,16
Comal,5624,161
Comanche,883,35
Concho,182,3
Cooke,2155,38
Coryell,4885,39
Cottle,139,6
Crane,162,9
Crockett,179,10
Crosby,399,22
Culberson,262,5
Dallam,716,22
Dallas,163133,2422
Dawson,904,53
Deaf Smith,2032,60
Delta,157,3
Denton,35158,405
DeWitt,1198,48
Dickens,103,7
Dimmit,641,13
Donley,167,8
Duval,840,31
Eastland,644,18
Ector,7904,269
Edwards,174,2
El Paso,75712,2116
Ellis,11738,194
Erath,2122,37
Falls,1340,20
Fannin,1711,62
Fayette,953,41
Fisher,223,10
Floyd,352,26
Foard,37,5
Fort Bend,34786,425
Franklin,471,14
Freestone,764,28
Frio,1348,22
Gaines,410,33
Galveston,19368,234
Garza,251,17
Gillespie,1206,24
Glasscock,42,1
Goliad,296,9
Gonzales,1529,25
Gray,2032,41
Grayson,6641,199
Gregg,3886,210
Grimes,2284,50
Guadalupe,6096,117
Hale,1442,132
Hall,317,8
Hamilton,485,18
Hansford,343,17
Hardeman,231,10
Hardin,1441,60
Harris,298582,3726
Harrison,2309,72
Hartley,395,2
Haskell,207,17
Hays,11566,112
Hemphill,417,2
Henderson,2241,91
Hidalgo,51433,2017
Hill,2641,42
Hockley,2389,87
Hood,2864,83
Hopkins,1404,84
Houston,954,26
Howard,2282,88
Hudspeth,549,9
Hunt,2930,95
Hutchinson,1780,56
Irion,31,0
Jack,363,12
Jackson,999,22
Jasper,1208,48
Jeff Davis,89,2
Jefferson,12026,274
Jim Hogg,383,12
Jim Wells,2803,67
Johnson,10189,199
Jones,2293,35
Karnes,1228,26
Kaufman,8299,142
Kendall,1073,39
Kenedy,15,2
Kent,38,1
Kerr,1552,50
Kimble,163,6
King,10,0
Kinney,192,3
Kleberg,1507,62
Knox,136,13
La Salle,746,20
Lamar,1193,103
Lamb,1749,72
Lampasas,954,16
Lavaca,1432,57
Lee,653,31
Leon,898,27
Liberty,3838,105
Limestone,1250,31
Lipscomb,245,8
Live Oak,671,17
Llano,643,22
Loving,1,0
Lubbock,20027,622
Lynn,375,14
Madison,1219,18
Marion,294,20
Martin,281,17
Mason,152,3
Matagorda,1823,68
Maverick,5136,221
McCulloch,348,12
McLennan,11853,314
McMullen,53,2
Medina,2208,59
Menard,118,4
Midland,5102,197
Milam,731,19
Mills,339,13
Mitchell,938,17
Montague,1249,44
Montgomery,24376,298
Moore,2253,62
Morris,537,13
Motley,50,5
Nacogdoches,3119,105
Navarro,2954,70
Newton,216,19
Nolan,961,31
Nueces,19020,516
Ochiltree,922,18
Oldham,125,3
Orange,2016,80
Palo Pinto,1741,49
Panola,1036,46
Parker,7542,103
Parmer,900,35
Pecos,864,27
Polk,2019,69
Potter,12670,297
Presidio,492,19
Rains,237,19
Randall,9981,206
Reagan,162,7
Real,214,12
Red River,360,29
Reeves,707,34
Refugio,459,17
Roberts,54,1
Robertson,1116,24
Rockwall,6134,63
Runnels,586,19
Rusk,2225,61
Sabine,265,19
San Augustine,243,26
San Jacinto,669,21
San Patricio,2603,104
San Saba,378,15
Schleicher,93,6
Scurry,1691,38
Shackelford,74,1
Shelby,917,42
Sherman,185,11
Smith,7573,299
Somervell,465,9
Starr,5407,210
Stephens,475,17
Sterling,45,2
Stonewall,52,3
Sutton,232,6
Swisher,419,14
Tarrant,142382,1695
Taylor,5278,230
Terrell,48,2
Terry,447,45
Throckmorton,36,3
Titus,2424,52
Tom Green,4066,191
Travis,52899,600
Trinity,469,12
Tyler,544,15
Upshur,1335,38
Upton,57,7
Uvalde,1930,45
Val Verde,3489,164
Van Zandt,1605,72
Victoria,5825,129
Walker,6655,93
Waller,1890,23
Ward,463,13
Washington,1831,64
Webb,27757,516
Wharton,2325,80
Wheeler,408,9
Wichita,7767,248
Wilbarger,1246,40
Willacy,1855,66
Williamson,19954,238
Wilson,1921,38
Winkler,407,16
Wise,3903,77
Wood,1209,80
Yoakum,202,22
Young,1286,32
Zapata,1081,23
Zavala,893,29
Incomplete Address,9715,5
Total,1620499,31312
