Month Year,January2022,February2022,March2022,April2022,May2022,June2022,July2022,August2022,September2022,October2022,November2022,December2022
<1,14539,3157,722,457,924,2973,6324,5003,2197,774,1143,2636
1-9,118074,25462,6013,2651,5362,10900,19587,20897,7096,2316,2501,4412
10-19,187715,33008,9875,4121,8824,14890,20860,23834,13253,2755,3427,5881
20-29,234884,36478,12082,6803,15908,34301,47275,31536,13739,4661,6581,11767
30-39,223197,39526,12984,7272,16785,34828,46259,32324,14127,5128,6881,12506
40-49,187551,33589,10804,5873,13986,29243,38950,27433,12311,4540,6046,11693
50-59,147861,28443,8699,4970,12065,25968,35328,24571,11581,4695,5998,12024
60-69,97521,22769,6460,4045,9159,19570,27808,19282,9853,4514,5514,11332
70-79,47567,13531,3643,2567,4887,11412,16639,12203,6779,3327,4267,8917
80+,21102,7281,2056,1251,2150,5429,8547,6379,3896,2047,2886,5979
