Month Year,Female,Male,Unknown,Total
January 2021,4188,5762,0,9950
February 2021,2086,3158,0,5244
March 2021,992,1346,0,2338
April 2021,553,695,0,1248
May 2021,428,584,0,1012
June 2021,270,349,0,619
July 2021,496,683,0,1179
August 2021,2817,4088,0,6905
September 2021,3450,4881,0,8331
October 2021,1795,2319,0,4114
November 2021,697,990,0,1687
December 2021,823,1160,0,1983
Total 2021,18595,26015,0,44610
