Month Year,Female,Male,Unknown
Jan-22,2386,3271,0
Feb-22,1685,2379,0
Mar-22,397,557,0
Apr-22,113,146,0
May-22,91,89,0
Jun-22,162,190,0
Jul-22,359,442,0
Aug-22,353,455,0
Sep-22,223,274,0
Oct-22,146,143,0
Nov-22,134,119,0
Dec-22,283,321,0
