Month Year,Female,Male,Unknown
Jan-21,4188,5762,0
Feb-21,2086,3158,0
Mar-21,992,1346,0
Apr-21,553,695,0
May-21,428,584,0
Jun-21,270,349,0
Jul-21,496,683,0
Aug-21,2817,4088,0
Sep-21,3450,4881,0
Oct-21,1795,2319,0
Nov-21,697,990,0
Dec-21,823,1160,0
