Date,Asian,Black,Hispanic,Other,White,Unknown
Mar 2020,1,27,26,2,45,0
Apr 2020,23,221,261,11,378,0
May 2020,25,173,371,13,340,2
Jun 2020,49,213,726,14,351,0
Jul 2020,110,660,4083,23,1796,3
Aug 2020,67,414,2925,17,1408,5
Sep 2020,35,187,1150,16,744,1
Oct 2020,47,235,1185,9,1087,1
Nov 2020,69,384,2170,19,2154,3
Dec 2020,151,663,2582,47,3590,3
