Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
March 2020,164,539,724,11,1056,497,2991
April 2020,895,3664,6511,90,5653,3085,19898
May 2020,1194,4072,9218,125,8053,6651,29313
June 2020,1564,8138,29712,380,19253,50619,109666
July 2020,2632,16734,68105,523,40045,115883,243922
August 2020,2071,11598,55616,386,31723,126784,228178
September 2020,1423,6904,30769,278,18835,61802,120011
October 2020,2050,8209,37911,437,26349,57775,132731
November 2020,4651,15423,68380,847,55635,108830,253766
December 2020,8877,27129,113686,1235,94896,186617,432440
Unknown Date 2020,1101,2867,13597,221,12415,17382,47583
Total 2020,26622,105277,434229,4533,313913,735925,1620499
