Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
January2023,2789,8973,19480,3729,23683,16064,74718
February2023,1421,5151,11017,2301,13964,8775,42629
March2023,870,3089,6778,1469,8965,5266,26437
April2023,375,1030,2689,424,2900,1689,9107
Unknown Date 2023,5,16,174,24,106,108,433
Total 2023,5460,18259,40138,7947,49618,31902,153324
