Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
January2022,43602,98150,358093,88038,300033,392767,1280683
February2022,8002,14403,65785,13764,63614,77726,243294
March2022,2914,6818,21109,4561,18427,19525,73354
April2022,2451,3665,8880,1996,13113,9929,40034
May2022,6510,8533,19842,3704,27061,24414,90064
June2022,11492,20958,46178,8274,50628,52012,189542
July2022,11615,31008,69218,10893,69427,75447,267608
August2022,8697,22255,55685,8650,54430,53773,203490
September2022,3915,10286,25629,4432,27226,23360,94848
October2022,1601,3389,8185,1986,11353,8317,34831
November2022,1581,4444,12207,2028,14132,10857,45249
December2022,2867,9622,23256,4072,27844,19497,87158
Unknown Date 2022,182,707,2187,261,2828,1621,7786
Total 2022,105429,234238,716254,152659,680116,769245,2657941
