Month Year,Male,Female,Unknown
Jan-22,559271,703165,18247
Feb-22,108404,128469,6421
Mar-22,33067,38591,1696
Apr-22,18059,21211,764
May-22,39288,49295,1481
Jun-22,82053,105185,2304
Jul-22,116882,148300,2426
Aug-22,87906,112651,2933
Sep-22,41260,53040,548
Oct-22,14983,19439,409
Nov-22,19447,25402,400
Dec-22,36823,49866,469
