Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
January 2023,22,68,178,7,520,0,795
February 2023,11,26,101,5,288,0,431
March 2023,4,24,65,2,192,0,287
Total 2023,37,118,344,14,1000,0,1513
