Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
March 2020,1,27,26,2,45,0,101
April 2020,23,221,261,11,378,0,894
May 2020,25,173,371,13,340,2,924
June 2020,49,213,726,14,351,0,1353
July 2020,110,660,4083,23,1796,3,6675
August 2020,67,414,2925,17,1408,5,4836
September 2020,35,187,1150,16,744,1,2133
October 2020,47,235,1185,9,1087,1,2564
November 2020,69,384,2170,19,2154,3,4799
December 2020,151,663,2582,47,3590,3,7036
Total 2020,577,3177,15479,171,11893,18,31315
