Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
January 2021,237,923,3777,48,4963,2,9950
February 2021,150,569,2380,32,2111,2,5244
March 2021,60,264,1059,13,941,1,2338
April 2021,43,167,579,8,451,0,1248
May 2021,20,143,457,7,385,0,1012
June 2021,7,73,280,7,252,0,619
July 2021,14,131,431,7,596,0,1179
August 2021,70,817,2551,44,3413,10,6905
September 2021,98,1013,2993,60,4159,8,8331
October 2021,60,486,1547,31,1984,6,4114
November 2021,23,149,682,14,818,1,1687
December 2021,32,181,756,22,991,1,1983
Total 2021,814,4916,17492,293,21064,31,44610
