Month Year,<1,44935,45218,20-29,30-39,40-49,50-59,60-69,70-79,80+,Unknown,Total
January2023,2713,4024,5378,9461,10309,9468,10014,9901,7973,5450,27,74718
February2023,1548,2461,3701,5594,5844,5523,5535,5266,4185,2959,13,42629
March2023,1071,1435,1955,3271,3468,3217,3356,3455,3062,2141,6,26437
April2023,307,439,675,1283,1325,1144,1160,1170,955,649,,9107
Unknown Date 2023,6,30,47,68,67,56,55,39,41,24,,433
Total 2023,5645,8389,11756,19677,21013,19408,20120,19831,16216,11223,46,153324
