Month Year,<1,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Unknown,Total
March 2020,6,25,68,410,451,565,494,423,201,103,245,2991
April 2020,72,312,701,3043,3646,3564,3335,2280,1043,780,1122,19898
May 2020,162,785,1746,4920,5610,5002,4475,2756,1471,1236,1150,29313
June 2020,628,3582,8544,27221,21794,17641,13678,8155,3711,2507,2205,109666
July 2020,1543,9142,23496,51105,44990,40859,33638,21325,10536,6153,1135,243922
August 2020,1385,8874,22642,46679,40272,37539,31907,20427,10584,6942,927,228178
September 2020,671,4430,14549,25587,20402,18670,15613,10200,5306,3558,1025,120011
October 2020,725,5802,15981,25064,21765,19988,18049,12797,7328,4612,620,132731
November 2020,1288,11182,31333,47689,42155,38191,34734,24666,13019,7063,2446,253766
December 2020,2403,20747,53682,79527,72902,67348,59048,41091,21680,12122,1890,432440
Unknown Date 2020,250,2068,5524,8619,7998,7259,6464,4552,2462,1341,1046,47583
Total 2020,9133,66949,178266,319864,281985,256626,221435,148672,77341,46417,13811,1620499
